book_id_title,book_id,book_title,book_series,book_series_uri,top_5_other_editions,isbn,isbn13,year_first_published,authorlink,author,num_pages,genres,shelves,lists,num_ratings,num_reviews,average_rating,rating_distribution
12700492-building-data-science-teams,12700492,Building Data Science Teams,,,"['https://www.goodreads.com/book/show/20818383-building-data-science-teams', 'https://www.goodreads.com/book/show/12942675-building-data-science-teams', 'https://www.goodreads.com/book/show/17170688-building-data-science-teams']",1449316778,9781449316778,2011,https://www.goodreads.com/author/show/5227216.D_J_Patil,D.J. Patil,30,"['Business > Management', 'Business', 'Nonfiction', 'Science > Technology', 'Science', 'Computer Science > Computers', 'Computer Science > Technical']","{'to-read': 423, 'currently-reading': 117, 'data-science': 23, 'data': 8, 'management': 8, 'business': 8, 'non-fiction': 7, 'technology': 6, 'big-data': 5, 'kindle': 5, 'work': 4, 'data-analytics': 3, 'ebook': 3, 'science': 3, 'professional-development': 2, 'short-reads': 2, 'tech': 2, 'owned': 2, 'ebooks': 2, 'nonfiction': 2, 'computers': 2, 'technical': 2, 'author-patil-d-j': 1, 'in-my-bookshelf': 1, 'technology-data': 1, 'data-teams': 1, 'stats-machine-learning-coding': 1, 'ml-ds-dl': 1, '2021': 1, 'ai-data-science': 1, 'techworld': 1, 'data-leadership': 1, 'analytics': 1, 'leadership-and-psychology': 1, 'coding-books': 1, 'books-i-own-digitally': 1, 'data-stats-info': 1, 'to-read-cto': 1, 'meditate-at-the-office-to-this': 1, 'numbers': 1, 'cl-science': 1, '2019': 1, 'read_2017': 1, 'machine-intelligence': 1, 'market-research': 1, 'my-books': 1, '2019-start': 1, 'cs-or-tech-related': 1, 'all-things-data': 1, 'computer-stuff': 1, 'backburner': 1, 'work-related': 1, '2019-actual-finished': 1, 'practical': 1, 'data-stats': 1, 'some-day': 1, 'kindle-librairy': 1, 'engineering': 1, 'beyond-data-science': 1, '2018': 1, '5-kindle': 1, '1-technology': 1, 'statistics': 1, 'short-read': 1, 'research': 1, 'new-2017': 1, 'data_science': 1, '2017': 1, 'datascience': 1, 'data-science-learning': 1, 'in-commute': 1, 'for-school': 1, 'technical-and-reference': 1, 'software-engineering': 1, 'professional': 1, 'later': 1, 'ecommerce-work-related': 1, 'own-on-kindle': 1, 'to-read-next': 1, 'product': 1, 'library-amazon': 1, 'how-to': 1, 'book-free': 1, 'cooperation': 1, 'phd-thesis': 1, 'read-in-2015': 1, 'meta-owned': 1, 'my-kindle-collection': 1, 'amazon-freebies': 1, 'it': 1, 'technical-stuff': 1, 'stephen': 1, 'on-bart': 1, 'waiting-2-be-read-kindle': 1, 'computer-science': 1, 'stanford-referenced': 1, 'processing': 1, 'modeling': 1, 'mining': 1, 'design': 1}",{},333,20,3.62,"{'5 Stars': 80, '4 Stars': 96, '3 Stars': 116, '2 Stars': 33, '1 Star': 8}"
13638556-what-is-data-science,13638556,What Is Data Science?,,,"['https://www.goodreads.com/book/show/19237428-what-is-data-science', 'https://www.goodreads.com/book/show/20868398-what-is-data-science', 'https://www.goodreads.com/book/show/16608205-what-is-data-science', 'https://www.goodreads.com/book/show/16608201-what-is-data-science', 'https://www.goodreads.com/book/show/22951625-what-is-data-science']",1334177049,9781449327552,2011,https://www.goodreads.com/author/show/49585.Mike_Loukides,Mike Loukides,23,"['Science', 'Science > Technology', 'Nonfiction', 'Computer Science > Programming', 'Business', 'Computer Science > Software', 'Computer Science > Computers', 'Science > Computer Science']","{'to-read': 323, 'currently-reading': 181, 'data-science': 17, 'data': 7, 'science': 7, 'technology': 7, 'kindle': 5, 'tech': 5, 'non-fiction': 4, 'nonfiction': 4, 'business': 3, 'programming': 3, '2015': 2, 'computer-science': 2, 'computers': 2, 'computing': 2, 'ebook': 2, 'later': 2, 'machine-learning': 2, 'professional': 2, 'software': 2, 'work': 2, '1': 1, '2017': 1, '2018': 1, '2018-done': 1, 'academic': 1, 'aindle': 1, 'akindle': 1, 'all-things-data': 1, 'amazon_shelf': 1, 'analytics': 1, 'zz-yes': 1, 'author-loukides-mike': 1, 'big-data': 1, 'books-i-own': 1, 'books-i-own-digitally': 1, 'bought-unread': 1, 'coding-books': 1, 'cognitive': 1, 'compute': 1, 'computer': 1, 'cs': 1, 'cs-or-tech-related': 1, 'data_science': 1, 'data-analysis': 1, 'data-analytics': 1, 'data-mining': 1, 'data-sc': 1, 'data-science-and-ml': 1, 'data-science-for-business': 1, 'data-science-learning': 1, 'datascience': 1, 'design': 1, 'ds': 1, 'ebooks': 1, 'ecommerce-work-related': 1, 'education': 1, 'english': 1, 'finished': 1, 'free-ebooks-might-read': 1, 'fromamazon': 1, 'gathering-dust': 1, 'ilse': 1, 'information-science': 1, 'it': 1, 'kindle-bookshelf': 1, 'loc-kindle': 1, 'modeling': 1, 'my-computer': 1, 'n_programming': 1, 'not-going-to-read': 1, 'not-reading': 1, 'numbers': 1, 'old-done': 1, 'own': 1, 'own-to-read-one-day': 1, 'owned': 1, 'priority-to-read': 1, 'read-2015': 1, 'حاسب': 1, 'short-reads': 1, 'software-developer': 1, 'sort': 1, 'stats': 1, 'stopped-reading': 1, 't_kindle': 1, 'tech-ai': 1, 'tech-books': 1, 'tech-database': 1, 'tech-law': 1, 'technical-and-reference': 1, 'technology-data': 1, 'to-buy': 1, 'to-read-again': 1, 'unics': 1, 'waiting': 1, 'wont-read': 1, 'others': 0, 'free-ebooks': -1}",{},586,39,3.69,"{'5 Stars': 152, '4 Stars': 191, '3 Stars': 173, '2 Stars': 50, '1 Star': 20}"
14366375-just-plain-data-analysis,14366375,"Just Plain Data Analysis: Finding, Presenting, and Interpreting Social Science Data",,,"['https://www.goodreads.com/book/show/14366378-just-plain-data-analysis', 'https://www.goodreads.com/book/show/19921794-just-plain-data-analysis', 'https://www.goodreads.com/book/show/7977120-just-plain-data-analysis', 'https://www.goodreads.com/book/show/16388156-just-plain-data-analysis', 'https://www.goodreads.com/book/show/10643610-just-plain-data-analysis']",1442215089,9781442215085,2008,https://www.goodreads.com/author/show/3460727.Gary_M_Klass,Gary M. Klass,202,[],{},{},10,2,3.5,"{'5 Stars': 1, '4 Stars': 4, '3 Stars': 4, '2 Stars': 1, '1 Star': 0}"
15815177-agile-data-science,15815177,Agile Data Science: Building Data Analytics Applications with Hadoop,,,"['https://www.goodreads.com/book/show/19505116-agile-data-science', 'https://www.goodreads.com/book/show/21523205-agile-data-science', 'https://www.goodreads.com/book/show/18705474-agile-data-science']",1449326919,9781449326913,2012,https://www.goodreads.com/author/show/6464775.Russell_Jurney,Russell Jurney,178,"['Reference', 'Computer Science > Programming', 'Nonfiction', 'Science > Technology', 'Computer Science > Technical', 'Computer Science > Coding', 'Computer Science > Computers', 'Science > Computer Science']","{'to-read': 242, 'data-science': 15, 'currently-reading': 11, 'big-data': 4, 'reference': 3, 'programming': 3, 'non-fiction': 3, 'tech': 3, 'ds': 2, 'pdf': 2, 'technical': 2, 'coding': 2, 'computers': 2, 'databases': 2, 'owned': 2, 'nonfiction': 2, 'software-engineering': 2, 'computer-science': 2, 'data': 2, 'agile': 2, 'kcls_spl': 1, 'cs': 1, '122-data-science-to-read': 1, 'bi-dw': 1, '52-in-2021': 1, 'disposed': 1, 'science-and-technology': 1, 'author-male': 1, 'semicolon': 1, 'on-shelf': 1, 'e-books': 1, 'audio_wanted': 1, 'saidoku': 1, 'b-bbbbbbbbbbbbbbbbbbbb': 1, 'hadoop_cluster': 1, 'have': 1, 'data-engineering': 1, 'maybe': 1, 'math': 1, 'code-and-design': 1, 'continue-reading': 1, 'ebook': 1, 'dev': 1, 'renew-to': 1, 'left-forever': 1, 'to-read-programming': 1, 'self-help-education': 1, 'science': 1, 'information-library-science': 1, 'engineering-technology': 1, 'do-it-yourself': 1, 'default': 1, 'computer-science-networking': 1, 'business-management': 1, '2016_tech': 1, 'analytics-to-read': 1, 'to-read-technical': 1, 'technical-books': 1, 'read-2016': 1, 'interested': 1, '_inbox': 1, 'd_s_python': 1, 'abandoned': 1, 'software-development': 1, 'meta_owned': 1, 'learn_data-science': 1, 'science-mathematics': 1, 'computers-technology': 1, 'business-analysis': 1, 'agile-software-development': 1, 'ruby': 1, 'python': 1, 'modeling': 1, 'mining': 1, 'languages': 1, 'javascript': 1, 'general': 1, 'design': 1, 'data-science-kit': 1, 'library-stanford': 1, 'in-collection': 1, 'technical-stuff': 1, 'livros-em-são-paulo': 1, 'data-stats-info': 1, 'information': 1, 'guides': 1, 'computer': 1, 'cloud-computing': 1, '21st-century': 1, 'oreilly': 1, 'computing': 1, 'interface-design': 1, 'comp-sci-tools': 1, 'comp-sci-fundamentals': 1, 'calibre': 1, 'safari-books': 1, 'bluesoft': 1, 'bought': 1, 'ebook-drm-free': 1, 'next-read': 1}",{'Computer': 80},71,10,3.32,"{'5 Stars': 12, '4 Stars': 15, '3 Stars': 30, '2 Stars': 12, '1 Star': 2}"
16286023-a-simple-introduction-to-data-science,16286023,A Simple Introduction to Data Science,,,['https://www.goodreads.com/book/show/18944085-a-simple-introduction-to-data-science'],isbn not found,isbn13 not found,,https://www.goodreads.com/author/show/1048042.Lars_Nielsen,Lars Nielsen,76,"['Science > Technology', 'Nonfiction', 'Business']","{'to-read': 115, 'currently-reading': 11, 'data-science': 5, 'technology': 4, 'nonfiction': 3, 'non-fiction': 3, '2016': 2, 'data': 2, 'business': 2, 'my-library': 1, 'ill': 1, '2020': 1, 'data-science-for-business': 1, 't_audible': 1, 'read-business-technical-career': 1, '2018': 1, 'audiobooks': 1, 'consider-next': 1, 'computer-science': 1, '2017': 1, 'n_bigdata': 1, 'technology-social-media': 1, 'information-science': 1, 'audible-read': 1, '1non-fiction': 1, 'data-sci': 1, 'science': 1, 'tech-to-read': 1, '2014': 1, 'kindle': 1, 'audio': 1, 'analytics': 1, 'to-read-datadesign': 1, 'information': 1, 'work': 1, 'data-explorer': 1, 'computers': 1, 'professional': 1, 'my-books': -1}",{},74,9,3.45,"{'5 Stars': 13, '4 Stars': 23, '3 Stars': 24, '2 Stars': 12, '1 Star': 2}"
16649210-predictive-analytics,16649210,Predictive Analytics: How Data Science Predicts What You Are Going to Do,,,"['https://www.goodreads.com/book/show/15941378-predictive-analytics', 'https://www.goodreads.com/book/show/28647166-predictive-analytics', 'https://www.goodreads.com/book/show/18627806-predictive-analytics', 'https://www.goodreads.com/book/show/26535641-predictive-analytics', 'https://www.goodreads.com/book/show/31935632-predictive-analytics']",1118356853,9781118356852,2013,https://www.goodreads.com/author/show/403014.Eric_Siegel,Eric Siegel,240,"['Business', 'Nonfiction', 'Science', 'Science > Technology', 'Economics', 'Science > Mathematics', 'Computer Science > Technical', 'Psychology', 'Unfinished', 'Science > Computer Science']","{'to-read': 3902, 'currently-reading': 527, 'business': 65, 'data-science': 62, 'non-fiction': 52, 'analytics': 40, 'science': 29, 'nonfiction': 27, 'technology': 27, 'data': 26, 'tech': 18, 'marketing': 13, 'work': 12, 'economics': 12, 'big-data': 12, 'math': 9, 'data-analysis': 9, 'technical': 8, 'data-analytics': 8, 'statistics': 8, 'datascience': 7, 'owned': 7, 'psychology': 7, 'abandoned': 6, 'default': 6, 'stats': 6, 'unfinished': 5, 'own': 5, 'wishlist': 5, 'career': 4, 'machine-learning': 4, 'behavioral-economics': 4, '2014': 4, 'artificial-intelligence': 4, 'computer-science': 4, 'work-related': 4, 'my-library': 4, 'data-mining': 4, 'to-read-business': 4, 'mathematics': 4, '2019': 3, '2018': 3, 'blinkist': 3, '2017': 3, 'computers': 3, '2016': 3, 'technical-books': 3, 'textbooks': 3, 'must-read': 3, 'professional': 3, 'stopped-reading': 3, 'business-books': 3, 'kindle': 3, 'social-science': 2, 'business-management': 2, 'business-economics': 2, 'audiobook': 2, '2021': 2, 'mba': 2, 'data-books': 2, 'calibre': 2, 'grad-school': 2, 'business-career': 2, 'ds': 2, 'work_technology': 2, 'stem': 2, 'read-2017': 2, 'dnf': 2, 'd': 2, 'play-books': 2, 'prediction': 2, 'econ': 2, 'bi': 2, 'decision-making': 2, 'digital-analytics': 2, 'ai': 2, 'owned-books': 2, '2015': 2, 'someday-maybe': 2, 'gave-up': 2, 'computing': 2, 'ebook': 2, 'mspa': 2, 'predictive-analytics': 2, 'library': 2, 'recommended': 2, 'research': 2, 'popular-science': 2, 'books-i-own': 2, 'analysis': 2, 'product-management': 2, 'big-data-predictive-analytics': 2, 'on-hold': 2, 'not-finished': 2, 'economy': 2, 'business-intelligence': 2, 'information-systems': 2, 'maybe': 2, 'decision-science': 2, 'leadership': 2}",{'Startup': 8},2014,150,3.67,"{'5 Stars': 439, '4 Stars': 767, '3 Stars': 562, '2 Stars': 189, '1 Star': 57}"
17346997-doing-data-science,17346997,Doing Data Science,,,"['https://www.goodreads.com/book/show/18679173-doing-data-science', 'https://www.goodreads.com/book/show/20903545-doing-data-science', 'https://www.goodreads.com/book/show/26135475-doing-data-science', 'https://www.goodreads.com/book/show/58707979-doing-data-science', 'https://www.goodreads.com/book/show/18792581-doing-data-science']",9351103188,9789351103189,2013,https://www.goodreads.com/author/show/6928121.Cathy_O_Neil,Cathy O'Neil,408,"['Science > Computer Science', 'Nonfiction', 'Science > Technology', 'Computer Science > Programming', 'Science', 'Computer Science > Technical', 'Business', 'Science > Mathematics', 'Computer Science > Computers', 'Reference']","{'to-read': 2213, 'currently-reading': 261, 'data-science': 116, 'data': 24, 'computer-science': 22, 'non-fiction': 17, 'tech': 14, 'technology': 14, 'programming': 12, 'nonfiction': 11, 'own': 11, 'science': 10, 'business': 10, 'technical': 10, 'statistics': 9, 'owned': 8, 'math': 7, 'big-data': 7, 'computing': 7, 'work': 6, 'on-hold': 6, 'analytics': 6, 'library': 6, 'career': 6, 'ebook': 5, 'ebooks': 5, 'machine-learning': 5, 'data-analysis': 4, 'ds': 4, 'data-analytics': 3, '2018': 3, 'humblebundle': 3, 'python': 3, 'data-mining': 3, 'textbooks': 3, 'datascience': 3, 'reference': 3, 'science-technology': 3, 'computer': 3, 'to-buy': 3, 'cs': 3, 'data_science': 2, 'humble-bundle': 2, '2015': 2, 'didn-t-finish': 2, 'machinelearning': 2, '2020': 2, 'textbook': 2, 'abandoned': 2, 'wishlist': 2, 'education': 2, 'interested-in': 2, 'machine_learning': 2, 'partly-read': 2, 'tech-to-read': 2, 'technical-reference': 2, 'digital': 2, 'economics': 2, 'engineering': 2, 'english': 2, 'kindle': 2, 'calibre': 2, 'maybe': 2, 'non-fiction-data-maths': 2, 'coding': 2, 'partially-read': 2, 'professional': 2, 'r': 2, 'software': 2, 'computers': 2, 'to-read-computer-science': 2, '計算機科學-computer-science': 1, '1cs-intel-information': 1, '2016': 1, '2018-career': 1, 'a': 1, 'a-i': 1, 'aa': 1, 'aa-non-fiction-ds-ml': 1, 'aa-non-fiction-science': 1, 'aaa': 1, 'academic-books': 1, 'author-female': 1, 'backburner': 1, 'backlog': 1, 'bar-code-scanned': 1, 'bi': 1, 'bi-im': 1, 'big-data-and-data-science': 1, 'big-data-and-digitalization': 1, 'big-data-bi': 1, 'big-data-books': 1, 'big-data-ml-for-data-science': 1, 'bigdata': 1, 'biz-econ-advert-tech': 1, 'bluesoft': 1, 'computing-general': 1, 'content-management': 1, 'couldn-t-finish': 1, 'cs-blah-blah': 1}","{'Data': 116, 'Humble': 4, 'Best': 20, 'Computer': 32, 'Popular': 62, 'Big': 4}",547,50,3.71,"{'5 Stars': 126, '4 Stars': 203, '3 Stars': 160, '2 Stars': 51, '1 Star': 7}"
17682206-data-smart,17682206,Data Smart: Using Data Science to Transform Information into Insight,,,"['https://www.goodreads.com/book/show/19012356-data-smart', 'https://www.goodreads.com/book/show/18555598-data-smart', 'https://www.goodreads.com/book/show/26838932-smart-data-statt-big-data', 'https://www.goodreads.com/book/show/43456303-data-smart-usando-data-science-para-transformar-informa-o-em-insight', 'https://www.goodreads.com/book/show/31551287-excel']",1118839862,9781118839867,,https://www.goodreads.com/author/show/7445541.John_W_Foreman,John W. Foreman,409,"['Business', 'Nonfiction', 'Science > Technology', 'Computer Science > Programming', 'Science', 'Science > Computer Science', 'Computer Science > Technical', 'Science > Mathematics', 'Artificial Intelligence', 'Textbooks']","{'to-read': 4657, 'currently-reading': 593, 'data-science': 135, 'business': 56, 'data': 49, 'non-fiction': 35, 'nonfiction': 21, 'analytics': 19, 'tech': 19, 'programming': 17, 'technology': 16, 'science': 16, 'computer-science': 16, 'work': 14, 'owned': 14, 'technical': 12, 'data-analysis': 11, 'professional': 11, 'big-data': 10, 'statistics': 10, 'career': 9, 'machine-learning': 8, 'own': 8, 'abandoned': 7, 'it': 6, 'work-related': 6, 'kindle': 6, 'data-analytics': 6, 'mathematics': 5, '2019': 4, '2017': 4, 'ds': 4, 'library': 4, 'mba': 4, 'datascience': 4, 'on-hold': 4, 'ai': 4, 'biz': 3, '2018': 3, 'reference': 3, 'bi': 3, 'software': 3, 'data-viz': 3, 'favorites': 3, 'marketing': 3, 'stats': 3, 'computing': 3, 'did-not-finish': 3, 'i-own': 3, 'ebook': 3, 'to-buy': 3, 'unfinished': 3, 'data-mining': 3, 'computer': 3, 'maybe': 3, 'textbooks': 3, '2014': 3, 'education': 3, 'technical-books': 3, 'nonfiction-to-read': 3, 'business-intelligence': 3, 'my-library': 3, '2022': 2, 'frombookmarks': 2, 'product-management': 2, 'economics': 2, 'bookshelf': 2, 'business-analytics': 2, 'wishlist': 2, 'math-stats-data': 2, 'office': 2, 'negócios': 2, 'professional-development': 2, 'ebooks': 2, 'ml': 2, 'data_science': 2, '1': 2, 'consider': 2, 'interesting': 2, 'analysis': 2, 'for-work': 2, 'learning': 2, 'priority': 2, 'to-read-business-books': 2, 'next': 2, 'academic': 2, 'educational': 2, 'school': 2, 'mathematics-and-statistics': 2, 'quantitative-analytics': 2, 'excel': 2, 'information': 2, 'maths': 2, 'must-read': 2, 'books': 2, 'business-books': 2, 'numbers': 2, 'on-shelf': 2, 'data-management': 2, 'wish-list': 2}","{'Data': 116, 'Best': 20, 'Big': 4, 'Scary': 61}",963,56,4.12,"{'5 Stars': 383, '4 Stars': 378, '3 Stars': 152, '2 Stars': 39, '1 Star': 11}"
17707749-uncharted,17707749,Uncharted: Big Data and an Emerging Science of Human History,,,"['https://www.goodreads.com/book/show/20893470-uncharted', 'https://www.goodreads.com/book/show/20324580-uncharted', 'https://www.goodreads.com/book/show/19659577-uncharted', 'https://www.goodreads.com/book/show/26385377-culturama']",1594632901,9781594632907,,https://www.goodreads.com/author/show/7025910.Erez_Aiden,Erez Aiden,256,"['Nonfiction', 'Science', 'Science > Technology', 'Sociology', 'Humanities > Language', 'History', 'Social Science', 'Science > Mathematics', 'Library Science > Information Science', 'Anthropology']","{'to-read': 1308, 'non-fiction': 26, 'nonfiction': 25, 'currently-reading': 24, 'science': 23, 'technology': 13, 'data': 9, 'big-data': 9, 'data-science': 9, 'sociology': 9, 'language': 7, 'history': 5, 'owned': 5, 'brainpickings': 5, '2014': 5, '2019': 4, 'social-science': 4, 'tech': 4, 'wishlist': 4, 'information-science': 3, 'own': 3, 'science-and-technology': 3, 'statistics': 3, 'future': 3, 'work': 3, 'math': 3, 'to-read-nonfiction': 3, 'information': 3, 'to-buy': 3, 'mathematics': 3, 'big-history': 2, 'not-owned': 2, 'favorites': 2, 'shelved': 2, 'data-analysis': 2, 'non-fic': 2, 'linguistics': 2, 'my-library': 2, 'anthropology': 2, 'social-media': 2, 'library': 2, 'research': 2, 'owned-books': 2, '2015': 2, 'programming': 2, 'business': 2, 'work-related': 2, 'computer': 2, 'computers': 2, 'first-reads': 2, 'bought-but-haven-t-read': 1, 'n100': 1, 'cultural-evolution': 1, 'big-picture': 1, 'sociology-social-interaction': 1, 'libraries': 1, 'library-ur': 1, 'ethics-data-ai-etc': 1, 'considering': 1, '2022': 1, '1': 1, 'critical-work': 1, 'machine-learning-to-read': 1, 'add-in-2018': 1, 'libby': 1, 'leadership': 1, 'education': 1, 'ai-ml-ds': 1, 'want-to-read-career': 1, 'not-tagged': 1, 'internet-technology': 1, 'add-to-kobo': 1, 'ways-of-understanding': 1, 'tsundoku-ebooks': 1, 'tsundoku': 1, 'partially-read-want-to-finish': 1, 'miscellaneous': 1, 'إماتة_الرب_ومحاكم<br/>ته_بالظرف': 1, 'symsys': 1, 'not_right_now': 1, '04not-in-amazon': 1, '03not-in-kcl-lib': 1, '02not-in-od': 1, '01not-in-hoopla': 1, 'nonfiction-and-informative': 1, 'unlikely-to-read-now': 1, 'book-order': 1, 'need-an-u': 1, 'need-an-e': 1, 'need-an-a': 1, 'ekonomikum': 1, 'at-the-library': 1, 'standford': 1, 'bowdoin': 1, 'social-science-etc': 1, 'review': 1, 'data-sci-and-programming': 1, '2014-release': 1, 'media-and-politics-thesis': 1, 'premba-reading-list': 1}","{'Billy': 6, 'Big': 7, 'Silicon': 489, 'Best': 54, 'Surveillance': 19, 'Scientists': 168, 'History': 15, 'Philosophy,': 4}",655,78,3.71,"{'5 Stars': 139, '4 Stars': 269, '3 Stars': 186, '2 Stars': 43, '1 Star': 18}"
17866660-nonresponse-in-social-science-surveys,17866660,Nonresponse in Social Science Surveys: A Research Agenda,,,['https://www.goodreads.com/book/show/43723300-nonresponse-in-social-science-surveys'],isbn not found,isbn13 not found,2013,https://www.goodreads.com/author/show/7070830.Panel_on_a_Research_Agenda_for_the_Future_of_Social_Science_Data_Collection,Panel on a Research Agenda for the Future of Social Science Data Collection,166,[],{},{},1,0,3.0,"{'5 Stars': 0, '4 Stars': 0, '3 Stars': 1, '2 Stars': 0, '1 Star': 0}"
